id;resort;resv_name_id;reservation_date;resv_daily_el_seq;travel_agent_id;company_id;source_id;group_id;share_payment_type;share_amount;share_prcnt;adults;children;discount_amt;discount_prcnt;discount_reason_code;fixed_rate_yn;base_rate_amount;auto_post_amount;share_priority;insert_user;insert_date;update_user;update_date;last_share_calculation;insert_action_instance_id;dml_seq_no;net_room_amt;room_tax;pkg_amt;pkg_tax;gross_rate_amt;adults_tax_free;children_tax_free;children_1;children_2;children_3;rate_code;currency_code;exchange_posting_type;membership_points;children_4;children_5;commission_code;award_code_1;award_code_2;award_code_3;award_code_4;award_code_5;award_voucher_1;award_voucher_2;award_voucher_3;award_voucher_4;award_voucher_5;do_not_move_yn;award_code;points;upsell_charge;points_eligibility_code;commission_paid;resv_contact_id;billing_contact_id;share_amount_original;referral_yn;bxgy_discount_yn;commissionable_yn;based_on_rule
1;halloween;16132;2024-05-02;21183;27321;18311;11516;12874;pish if;6937.55;7784.16;7320;28434;28719.51;8038.2;how elegantly;properly dramatic;10223.54;23285.48;14643;4381;2024-05-02;21166;2024-05-01;around unlike meanwhile;7710;30323;28987.42;14081.6;11658.55;22691.52;20549.72;2861;31829;32048;7735;14035;whoever browbeat lurk;CDF;next plant mmm;15173;7003;13046;so;tomorrow hm;inasmuch doubtfully;except;how prudent yahoo;mushy yahoo;yet flame bravely;innocently depot;whoa rigidly;heavily;optimistically however undulate;minus regulation how;especially until;18623;6999.21;unnecessarily;21306.55;15002;28079;19274.07;hence pollutant after;why;who enraged;politely poultry likely
2;patty experiment painfully;32336;2024-05-02;2942;22268;15108;11511;8578;inside;2774.65;7693.44;19884;24953;10391.86;17737.99;unexpectedly infantile aboard;purify out;1614.96;8328.62;23323;15797;2024-05-01;10296;2024-05-02;reproachfully;366;4804;13295.42;3913.29;14568.39;18891.97;32142.68;19392;20254;13435;6665;14761;paw practice aromatic;NZD;labour outmaneuver;17270;19827;21943;where phew;before yippee frankly;pfft since edition;recoil;carefully;wherever;indeed;free;a ouch;sensationalize quieten;as amusing;ah because;versus whoever zowie;25357;4617.22;pickax often;4330.34;16470;25711;16839.24;meanwhile readies whittle;fare;urgently gah yieldingly;yowza gesticulate
3;likewise pace naive;24735;2024-05-02;27945;8447;5754;6166;11988;cheep cofactor;25192.56;21025.73;5292;29746;13352.99;5301.16;yowza;squeaky gadzooks;29809.04;29970.59;22501;5134;2024-05-01;3463;2024-05-01;briefly impede;22871;7345;15612.7;19833.25;8890.6;1147.04;17286.45;26439;32521;24788;2775;29073;cement uselessly;CRC;presume or punctually;3040;31855;9271;badly zowie excise;juvenile why vainly;regarding;bulk round versus;chubby likewise wholly;offload ha;bondsman;calmly sometimes second;patiently jaggedly beneath;silky but;than writ;cappelletti;knottily vanish around;22405;24342.3;gadzooks;15204.13;10125;3652;6543.79;worth infest;after vicious;knowledgeably except not;apud that
4;er;27528;2024-05-01;24102;27667;14188;10025;27283;yowza wherever flat;31656.16;19652.19;17272;8542;18213.66;1382.89;gosh vain pump;diligently for zany;23378.59;10187.38;26211;4467;2024-05-02;24439;2024-05-02;gah until;3503;15128;11677.87;14241.11;29259.39;25310.34;20105.64;233;24239;24434;31041;13289;lure highly;DZD;after;12417;30587;18656;sans inwardly beside;hippopotamus shady;truly midst;vainly to midst;eek instead;keenly phew;except;useful ugh;disafforest which testimonial;vivaciously yum terrapin;phew effect after;mockingly characterize barring;whether tortoise;21574;15609.36;hmph oleo;7547.47;31409;8178;17857.39;cone following;radicalize winged questionably;cruelly;paradise chilly lest
5;personify gigantic;23081;2024-05-01;8776;3622;26119;4596;27393;pfft each;31.53;23395.72;23477;31445;27919.58;30606.79;empty;plus wherever;20144.79;24666.51;20783;4869;2024-05-01;8678;2024-05-01;ziggurat mortally;26905;9736;12355.33;410.76;15648.32;27533.38;22925.45;20470;25870;7806;10342;13787;furthermore aw multicolored;GEL;anti;1398;16620;23287;oven synthesize to;ah furiously flummox;suspiciously till easily;rust for pressurisation;forenenst;within;apud end;bah whoever;skirmish geez;tunic;people favorable future;meek but;deceivingly oof what;6813;20353.79;risk;11035.71;23190;22659;2251.83;behind up unsung;afore;even syndrome remarkable;industrialize
6;abacus whose;192;2024-05-01;16483;5498;19734;31034;22419;next labor hopelessly;18765.74;29415.63;32443;29760;28260.8;18751.15;within off an;uh-huh chubby that;16619.3;1739.2;24967;24655;2024-05-01;25419;2024-05-01;site boo;12742;23429;32183.66;15887.7;1433.97;21602.11;19290.53;2954;22898;4551;8489;15632;painfully;LSL;appetiser;19296;17731;1656;flow;beneath questionably for;than let sleepily;stockpile;since acidic;atrium woot;prang;genre openly thirsty;solidly ack;garrison uh-huh;loudly mmm;remark utterly if;bear pish;4915;19573.51;exeunt brink given;28427.09;26201;23283;26929.47;thirsty;helplessly anti;generous;mod brr
7;although gruesome;24722;2024-05-01;27332;2703;13369;8303;2881;ack for;31732.91;7755.82;19963;30775;6927.31;17259.23;laboratory;gee arrogate within;20084.28;17439.99;17641;22932;2024-05-02;7531;2024-05-01;ready though;14609;23541;8694.17;32227.26;15552.61;30004.63;26044.39;9599;28790;5573;26280;2476;unfasten fast uh-huh;DOP;refloat great-grandfather;4661;11385;11;lopsided roam;which boo;cappelletti about;unruly;centralize majestic;up abaft bench;incomparable arm;supposing at;amid;off split;aw unlike where;finally coral;upon silent bedrock;1817;7074.99;coolly;8523.93;2122;19907;9480.43;uselessly between;what;balalaika daily;mockingly frightfully
8;though the unhook;10608;2024-05-02;15740;3312;25830;31953;32094;promise opposite blah;6119.26;29946.22;24246;19845;13140.23;27194.77;pouch;everlasting;26879.89;20302.38;12666;2564;2024-05-01;22950;2024-05-01;a stake;189;23147;7710.7;17545.84;11275.89;8778.87;24619.9;2138;24762;4740;21190;19937;indeed but;BND;bandana;27363;1880;19583;rudely nation canvass;indeed require finalise;grim;viewing er er;excitable well-being;stop since;while;nestling;huzzah finally tenderly;oof blowgun gah;bah;sandpaper beyond blah;monthly only silo;17027;10856.73;consonant anorak;21360.94;8328;17514;19819.43;insignificant potable;through;via fuel punctually;guarantee provided smoothly
9;lightly decisive;18784;2024-05-01;27359;25166;24014;14570;16023;recklessly;21019.87;7444.48;25165;26911;8292.92;18788.34;dispense new outside;gadzooks;27182.32;9687.89;2235;4764;2024-05-01;775;2024-05-01;psst;3179;19564;20329.48;24137.19;17702.2;29407.92;10906.27;24921;1308;19249;17060;10937;whisk amidst;ALL;whether competence after;25115;15834;16762;gah ectoderm;spike wherever soar;youthful out;ultimately aboard pelt;tune exert against;while defeat remote;tomatillo;recrudesce aside yuck;separately naturally meaningfully;controvert midst;hmph geez equally;styling motionless;considering;18158;26352.83;hm oil jovially;18112.05;6228;3298;4862.77;an;in when;courthouse meh;thatch bond
10;born yearly;21078;2024-05-01;7844;32039;24018;31604;7469;outface unfortunate;22597.83;28677.95;18435;28188;8422.07;28949.91;into so unacceptable;before overshadow anxious;23410.46;8985.66;15392;11686;2024-05-01;3455;2024-05-01;hm;32131;4688;19615.87;6046;8238.83;24229.41;527.26;26509;26792;30612;10357;22487;yippee supposing;KZT;who calmly oof;27511;21151;10884;given;scarce comma;defy;valiantly woeful;pullulate upon;popularise;anthologize;ick;victorious amongst jovially;key given;bleakly opportunist;yahoo;but favorite;12178;8311.52;if;20218.85;8039;15312;8885.03;continually in;naturally underneath;jest;beautiful jaggedly ew
