id;resort;reservation_date;resv_daily_el_seq;resv_status;external_reference;room_class;room_category;booked_room_category;room;cancellation_no;cancellation_date;cancellation_code;cancellation_reason_desc;guarantee_code;market_code;origin_of_booking;exchange_rate;original_base_rate;base_rate_amount;rate_amount;room_cost;quantity;adults;children;physical_quantity;allotment_header_id;day_use_yn;due_out_yn;insert_user;insert_date;update_user;update_date;insert_action_instance_id;dml_seq_no;ext_seq_no;ext_seg_no;cribs;extra_beds;allotment_record_type;block_resort;block_id;turndown_status;awd_upgr_from;awd_upgr_to;hk_expected_service_time;room_instructions
1;supposing meh absent;2024-05-01;17440;the;granola occasional bewilder;by;bushwhack;which than kale;cower listening;12934;2024-05-01;aboard;fooey where;ha;broken drat;ew function;9780;22454;19179;25679;16236;8798;6596;9151;9061;27331;than;abaft headhunt;2680;2024-05-02;27056;2024-05-01;9080;13722;17114;21441;5736;8314;likely;indeed before;4860;throughout;shade;whereas well-lit helpfully;titter granular aw;grouchy um along
2;ick brick tabletop;2024-05-01;23879;double;since nor ouch;barring incidentally bleakly;yum proud;eek nearly phew;half inwardly ack;9196;2024-05-01;styling lest forestall;eliminate costume amidst;down;surprisingly;through off;24902;22059;6045;17509;14878;16094;10718;10308;30421;2801;whose;happy wherever stockings;21051;2024-05-01;3180;2024-05-01;17316;18883;29099;6417;480;7030;for;loudly though;13360;and caricature onto;exhausted;factorise;until;fix before ha
3;owlishly;2024-05-02;24390;coolly;atop;faithful spike;jubilantly within;lynx doodle;beyond;14637;2024-05-01;woot;besides silently;outside;whereas;district across;14908;21501;28954;25813;16365;517;23972;21652;10500;26031;save minor-league why;foolishly easily supposing;27344;2024-05-02;6711;2024-05-01;8724;16825;28287;29648;5271;3035;wisely;innocently aw;26046;formal per;bottom-line;pace;rarely raisin;gah geez except
4;database above;2024-05-01;29121;handsome wagon;strictly;what;mixed observation;electricity under;intensely tattle;30978;2024-05-01;complaint ew lest;modest;wildly;gadzooks carbohydrate placate;span anenst by;28564;1405;2849;23376;24834;10473;28245;16691;19874;12951;than;trustworthy overdue;5442;2024-05-01;10929;2024-05-01;29185;24943;18344;27944;23445;13607;inexperienced lane;knowingly about;16387;shed fatherly even;ah;creamy diligently;sandal geez provided;meh cautiously
5;finally assist;2024-05-02;8785;amongst;regroup gosh woodland;warmhearted immobilize;scarper competent although;including ick interestingly;near ick soon;22328;2024-05-01;binge;tulip;including mmm;meteorology;till;11483;17831;25616;31298;22522;25419;13840;19244;12888;2691;in mmm elegant;gripper violently;10775;2024-05-01;5253;2024-05-02;15249;13514;23405;30304;7873;17997;except psst;yum rationale which;29207;huzzah;calm seclude everybody;drat lest yahoo;obfuscate yahoo;thermals pish arrogantly
6;gosh fondly;2024-05-01;13133;disprove beneath;apropos palate potentially;electric doubtfully;fully questioningly geez;before;via;1320;2024-05-01;bus;and;upon aver ultimately;when heavily boo;never;7379;31661;26595;9514;19632;13186;23926;4170;21563;2529;and construct;pish;1116;2024-05-02;13671;2024-05-02;21097;13135;25640;26871;13743;27996;congregation tedious intently;daring;12323;yuck knowledgeable music-box;glimmering minister;brr obtrude;drafty;incidentally
7;whose boohoo academic;2024-05-01;14359;joint coconut;president broken;lentil aw;men;given;paradise when;28258;2024-05-01;tilt;longingly goose than;whose if;tide;silent innocently boo;24261;13767;32513;11415;29747;23044;32328;2162;3848;5547;how a below;epee likewise;23328;2024-05-01;16319;2024-05-01;16318;13334;12833;16307;21981;31686;fooey mortified;actual exocrine;10334;opposite provided;coverall who;but possible;usefully;athletic
8;unethically;2024-05-02;9225;beside briefly;yahoo enormous;absent;carnation;yuck where;value kookily;8069;2024-05-01;the;whirlwind pace;inasmuch councilor jasmine;whimsical until oh;police cooperative;19150;13256;5486;27222;29396;18595;26396;29445;6242;3239;cruel tragic once;boldly amuse light;16088;2024-05-02;16679;2024-05-02;1398;25809;7115;6596;10498;27300;oh what certainly;loyally for tightly;17792;apud agreeable of;outside critical grace;psst pace dimpled;fiery smith;ack what up
9;once meanwhile;2024-05-02;28228;biff gosh for;charity on remote;yahoo truck sheepishly;civilize bewilder;nice;abnormally reluctantly rightfully;1901;2024-05-01;fresh thoughtfully out;about if;unwritten;careless;along yearningly procure;11524;32566;550;30101;18430;32179;28017;22693;7887;5540;inasmuch;striking provided self-reliant;25455;2024-05-01;30019;2024-05-01;31824;21720;20201;18801;26816;4242;along considering;fortunate after which;25356;gadzooks starve;except down sans;now geez sane;yippee worth;impeccable except circa
10;readily lest;2024-05-01;14725;whoever lavish;phew unnecessarily ordain;worriedly bungalow;nor phooey;till;royal drat;18575;2024-05-01;zowie scratchy yum;population;badly unrealistic antechamber;opulent;during astound astride;12;25083;32334;6728;7262;1489;7254;13947;205;28242;uh-huh reimburse tinderbox;furthermore;11255;2024-05-01;4765;2024-05-01;10339;32559;29895;12088;31585;15508;sublimate;pfft yum;1418;ordinary;jar;if zowie;which whoa;separately aw coaxingly
