id;resort;event_type;event_id;considered_date;room_category;room_class;market_code;source_code;rate_code;region_code;group_id;resv_type;resv_inv_type;psuedo_room_yn;arr_rooms;adults;children;dep_rooms;no_rooms;gross_rate;net_room_revenue;extra_revenue;oo_rooms;os_rooms;remaining_block_rooms;pickedup_block_rooms;single_occupancy;multiple_occupancy;block_status;arr_persons;dep_persons;wl_rooms;wl_persons;day_use_rooms;day_use_persons;booking_status;resv_status;day_use_yn;channel;country;nationality;cribs;extra_beds;adults_tax_free;children_tax_free;rate_category;rate_class;room_revenue;food_revenue;other_revenue;total_revenue;non_revenue;allotment_header_id;room_revenue_tax;food_revenue_tax;other_revenue_tax;total_revenue_tax;non_revenue_tax;city;zip_code;district;state;children_1;children_2;children_3;children_4;children_5;owner_ff_flag;owner_rental_flag;fc_gross_rate;fc_net_room_revenue;fc_extra_revenue;fc_room_revenue;fc_food_revenue;fc_other_revenue;fc_total_revenue;fc_non_revenue;fc_room_revenue_tax;fc_food_revenue_tax;fc_other_revenue_tax;fc_total_revenue_tax;fc_non_revenue_tax;currency_code;exchange_date;update_business_date;update_date;central_currency_code;central_exchange_rate;trunc_begin_date;trunc_end_date;business_date_created;res_insert_source;parent_company_id;agent_id;gender;vip_status;quantity;turndown_status;booked_room_category;source_prof_id
1;unethically;some unripe;garden;2024-05-01;beside than syndicate;murmuring doubtfully speedily;tighten;incidentally fine rabbit;in courageously;bitten whirlwind lively;24337;now convection drat;consequently boatload out;yowza perfectly generally;8309;22210;27709;30856;24807;32063.17;13170.39;8049.48;25615;9727;31123;32453;17350;24064;decentralize likewise;5767;2873;3692;30540;31722;30382;discount adventurously well-informed;volume unto;pro;phooey pro violently;Kyrgyz Republic;care;31962;22206;21335;26673;turnip duh;ready amusement yahoo;14845.55;29773.36;5066.46;21139.78;17241.93;29023;30828.23;3172.87;32020.28;11947.32;22899.79;Sabrinabury;19597-7453;pouch hungrily;aside while;20025;24605;16026;18100;21232;scarcely;above recap;30704.99;21719.41;27460.71;21665.35;27326.79;29386.89;22045.15;7627.44;14390.25;6543.75;2256.49;5175.68;421.3;TZS;2024-05-01;2024-05-01;2024-05-01;gulp reply aha;13330.63;2024-05-02;2024-05-02;2024-05-02;meanwhile disincentivise indeed;11546;8784;generously gah;venerate resistance;27057;wink;where briskly;24863
2;zigzag regain whoa;once tan outside;obediently who inasmuch;2024-05-02;dimly;wherever disassociate;nor disarmament;than comfortable energetically;blond;aha;1849;shocking mellow;damaged mostly ridicule;mud gazump;12640;11715;11409;11138;675;1533.97;8565.18;29676.97;29809;290;7150;7058;16058;27072;modulo behind ha;22669;6184;25306;21340;7741;16902;rudely although until;energetically obnoxiously;indeed accidentally;on mockingly which;Puerto Rico;lumbering oof atop;20484;30891;2661;11225;opposite;till;23293.36;16022.45;14538.72;21002.19;5333.25;15734;6929.45;23245.49;18669.89;24578.37;21138.01;West Tess;50368-6221;though downplay majestic;dumbfound innocently why;26865;24154;7411;6640;23792;quick;sans indigence of;5477.51;14787.17;20180.98;29947.26;2670.91;25809.53;5407.06;18225.91;7494.85;1855.29;29189.92;5846.75;18240.96;RSD;2024-05-02;2024-05-01;2024-05-01;hm superficial;9397.64;2024-05-01;2024-05-02;2024-05-01;minor after replay;32703;12231;supposing loosely lack;what;31528;yowza;tame jalapeño beside;15348
3;annual harness overclocking;rightfully;times memorize;2024-05-01;handrail athlete;though a;psst afterwards why;provided anxiously;affinity average kale;fairly highly resolve;22250;top er carelessly;er geez;jealously;31035;1913;31506;29381;12679;12248.04;6726.96;32428.41;14133;23457;2098;29891;2726;14127;gah;11028;26109;32429;9346;27619;9124;silently hm;about to aside;anenst;vacant defenseless;Guinea-Bissau;chateau;26622;15414;13046;22954;within usefully;bah towards;26176.36;15107.44;29077.85;14486.6;20794.16;26047;5667.38;31909.82;1599.21;6002.11;21066.72;Strosinville;28310-6901;field;bite-sized apropos palatalize;14831;28748;15342;7341;1271;however;pillory past aw;24043.74;19758.57;7300.96;24724.63;16011.69;31775.74;25602.84;15721.06;29338.47;17850.13;12435.62;12278.86;13444.07;TND;2024-05-01;2024-05-01;2024-05-02;ouch;8057.92;2024-05-01;2024-05-02;2024-05-02;carnival;17499;21827;carol among digital;about keelhaul;440;supposing;and strict;6462
4;quicker;ancient zowie usually;or qua;2024-05-02;delightful treasured;yowza;although hence;boohoo ah unhappy;snowman accidentally;out;25603;violently;bequeath since;hm;18255;11205;32737;20114;10655;13319.82;17380.8;23665.41;13326;16070;9379;25840;10823;28377;incidentally;20939;28319;19989;19580;6197;6646;vague;concerning likely;slimy;weakly;Eswatini;sequester duh inasmuch;12099;18584;13413;9862;monumental;laugh;32526.33;1210.15;13003.29;6512.62;24028.34;2370;1223.75;343.53;1262.49;19240.58;21839.34;East Elisabethton;66320-7939;lord;spinach cheery;21010;27460;75;23278;22730;brr;colorfully bold excitable;17921.4;4261.04;3518.28;12724.48;23097.7;32484.61;28368.64;12416.44;6270.43;4843.23;26528.69;18160.07;9039.1;BDT;2024-05-02;2024-05-01;2024-05-01;lest rehear except;5743.43;2024-05-02;2024-05-02;2024-05-02;graduation lanky er;29716;8810;ah ack hm;doorstep well-to-do;14005;pfft acidly beep;duh;27614
5;mainstream inhibit;dual loftily reconstitute;even;2024-05-02;penalise used including;querulous;acidify freestyle unless;underachieve yuck;consequently;cohere duh;15634;sane zowie;extremely;abaft after infringe;23190;18250;5829;27909;15767;8677.8;22472.02;29497.76;28121;18514;10919;8754;31332;3917;than light mime;2913;4070;13621;18308;23602;6035;pelt down;toward yet;till;although symptomize;Iraq;perch upholster;14581;25621;20136;24949;hoax;wetly severe;28022.58;9419.87;14466.27;12325.23;5978.88;30049;27933.09;32276.37;15496.24;2638.23;20919.97;New Oleboro;70066-8969;potentially;inasmuch unaccountably tinted;22801;5919;3740;5995;30873;cannon coolly overcook;unusual;2032.66;12538.12;24294.9;17744.54;22123.27;7209.45;14637.97;9564.02;28749.13;14201.95;15665.12;8188.61;28242.14;TND;2024-05-02;2024-05-02;2024-05-01;but;451.15;2024-05-02;2024-05-02;2024-05-02;eventually cover;26168;22909;yowza unless;ack beach;13710;oh queasily lest;heft before;13174
6;indeed for;phooey;jovially potential because;2024-05-01;failing parallel;gracefully whoever;gosh growing welcome;or until elementary;down;gee;23587;opposite provided convert;ugh anti;slippery ah;15058;28992;16771;13726;32252;29104.62;22875.78;13344.61;12790;23721;24445;746;3770;1146;glorious fatally duh;2336;25718;3727;1035;13585;19742;indeed within;for after sometimes;aha gripping who;yuck lest ouch;North Macedonia;even;21777;4023;2820;30523;and beyond;well inveigle;9458.52;16323.86;17420.97;19284.05;7855.29;26243;32253.39;26092.2;23992.1;22930.45;30906.64;O'Connerview;03260;even hurdle;knowledgeably;14349;1391;23912;12218;20760;ah queasily resound;than grumble;9434.37;28140.53;6327.19;6274.43;17422.87;3600.12;23048.25;403.78;22934.39;4091.24;25857.61;15848.12;578.83;XPF;2024-05-02;2024-05-02;2024-05-02;loathe;12388.97;2024-05-01;2024-05-01;2024-05-01;amid immediate;25490;6696;to;doubt for under;2298;from;afraid;12481
7;whistle oof underneath;cautiously;apropos;2024-05-01;choosing stylish;lest;construct how a;and ha gadzooks;quirkily wealth;misplay after log;918;ugh;since gah fast;procedure phony;4339;4964;27238;17197;28187;3924.12;9844.05;23511.36;10454;1120;17182;18825;2019;11845;primary;16021;4188;5804;31654;255;529;yet courageously;gah hog carburise;wrongly;glossy clear-cut aside;Sri Lanka;boohoo;17095;18220;9865;19647;forked meridian suspiciously;wherever;16240.56;1608.26;8300.49;4958.01;28495.75;3327;13720.28;21397.81;8350.08;10434.43;31299;Mikeberg;35219;detainment mountainous below;opposite;2002;743;1826;30334;30914;aw;suspend boohoo;29211.36;2241.18;19691.03;15022.48;28024.11;11276.47;20539.68;16925.69;9871.21;14555.87;28618.06;22452.34;3438.86;QAR;2024-05-01;2024-05-01;2024-05-01;identity;2371.03;2024-05-01;2024-05-02;2024-05-01;save nutritious brand;9193;17004;highlight classic notwithstanding;sample roughly;26153;bitterly wrongly er;where;171
8;as sharpen;except uncouple;dutiful row selfishly;2024-05-01;impressive yowza species;complex beside over;along;given;coolly greatly;confront hmph whoa;24302;west gah;yum scrutinize matter;furthermore eek short;5026;7526;17274;14098;29713;16321.47;31629.14;13587.88;30787;23866;12984;5063;14922;21856;until near;31908;6513;6778;584;12921;4124;lovingly muted;woefully modulo seldom;ha even deafening;high-rise beyond;Azerbaijan;yum gosh unknown;23263;10250;20321;3639;pace;save;729.55;9141.63;30599.91;20050.33;27780.54;2150;15824.56;29744.09;20049.11;607.34;20419.27;Overland Park;59267;amidst horn meanwhile;industrialisation during failing;4551;3366;15633;13938;531;arise well;glorious shocking huzzah;7324.33;15814.39;2449.12;14862.15;26504.05;17283.25;1398.73;4756.81;6452.17;22996.79;3846.07;20160.57;15433.34;DOP;2024-05-01;2024-05-02;2024-05-01;amid;7497.08;2024-05-01;2024-05-02;2024-05-01;quaintly ultimate overjoyed;3845;29976;lapse lender;whoa next;10500;unless;arid;15896
9;tricky;even because sympathetically;into;2024-05-01;highly;dizzy anxious;stream pro ecstatic;zowie;cherry mmm pish;while;10901;actual;hm well where;sardonic including;24073;25038;30765;29762;4422;8839.6;30558.33;354.64;10103;8228;23693;13279;13048;4098;who toward;8190;10511;25686;10333;25800;22805;surprisingly above gigantic;fully brr though;or bah misfile;fancy shave;Guinea;if receive;1070;22492;16881;19745;upwardly productivity commune;fairly;11475.67;7088.44;18816.77;21360.72;32375.23;21038;18881.89;23370.52;31448.41;12911.51;2130.62;West Franzboro;15349-4135;infuriate likewise;provided chuck;3312;20791;26806;187;13343;brr incidentally nor;than;25750.48;27185.84;14844.77;25855.1;20050.51;14144.35;28610.64;22837.17;4567.3;31527.71;6298.25;13011.61;12207.63;SYP;2024-05-02;2024-05-01;2024-05-01;smoothly;4222.62;2024-05-02;2024-05-02;2024-05-01;mouser breach hmph;11171;12491;wee psst;than worth dinner;14960;boohoo;thrifty;31701
10;recklessly;provided gee crossly;rash proximity gravitas;2024-05-02;failing;fully;intentional remark unfolded;variant;overgraze finally;zowie;17217;lost side;modulo;revert disgusting;5128;29651;29587;5567;7072;7297.99;24768.33;820.76;12258;29296;23355;28426;18431;2972;which;1343;31166;31861;29660;18633;10392;adorable though swerve;sadly um;when development;fritter stance;Lithuania;through where;24153;12269;24263;21663;proximal;glass speaking;23340.54;9065.82;8215.62;16811.14;27358.48;26863;30489.1;6791.57;10991.75;25497.34;24784.98;Brigittefort;72821-4636;hobby;that though zephyr;25592;10263;30567;2138;4722;conflate;despite hm trim;18673.55;3009.68;9581.75;16139.46;7110.86;29589.7;22553.1;19634.09;22690.18;19197.06;17294.04;13690.25;11269.73;NIO;2024-05-01;2024-05-02;2024-05-01;pish phooey;23971.47;2024-05-01;2024-05-02;2024-05-01;flustered wherever out;6181;30918;huzzah;cultivated;28061;yummy geez plain;enthusiastically hoarse when;7961
