id;resort;source_code;parent_source_code;description;insert_user;insert_date;update_user;update_date;inactive_date;sell_sequence;sc_orderby;internet_sales_yn
1;literate spawn occasional;boo;lanky;rigidly polish inquisitively;31452;2024-05-01;20148;2024-05-01;2024-05-01;19823;30134;spree
2;finally;flashy yahoo;that yawning until;gah via seep;8110;2024-05-02;22216;2024-05-01;2024-05-02;25958;4227;fry given
3;geez instead thirsty;brr councilperson;when;apud nor for;2431;2024-05-01;19901;2024-05-01;2024-05-02;29346;23113;worker
4;modulo;stealthily consequently;buttery;along healthy telephone;21510;2024-05-01;24446;2024-05-02;2024-05-02;5911;8149;result never uh-huh
5;but;stepping-stone suburban designation;quirkily boastfully algebra;incense patiently virtual;12033;2024-05-02;29308;2024-05-02;2024-05-01;7281;17161;dote unity shaker
6;if uh-huh demur;imaginative;laze clang famously;reporting;12786;2024-05-01;25972;2024-05-01;2024-05-01;3703;26865;poor potentially pish
7;chargesheet;like gaseous;taint afore artifact;aquifer if;25493;2024-05-02;11254;2024-05-01;2024-05-02;23893;8235;income of
8;bench utilisation;whenever shiny tam-o'-shanter;dread calibre if;nick;16308;2024-05-01;15047;2024-05-02;2024-05-02;1832;26458;however
9;lively;incidentally;hoarse;if;30897;2024-05-02;13641;2024-05-02;2024-05-01;13020;258;titivate inwardly ick
10;yellow;than keen;drat geez;warmly;28687;2024-05-01;15585;2024-05-02;2024-05-02;11698;8623;first acrylic uh-huh
