id;resort;room_category;room_class;number_rooms;short_description;long_description;compiled;psuedo_room_type;active_date;inactive_date;replaces_category;order_by;max_occupancy;max_rollaways;rate_category;jhi_label;generic_flag;suite_yn;meetingroom_yn;insert_user;insert_date;update_user;update_date;rate_code;rate_amount;def_occupancy;image_id;pseudo_yn;send_to_interface_yn;yieldable_yn;yield_category;housekeeping;can_delete_yn;roominfo_url;owner_yn;auto_include_yn;initial_round_up;increments;rotation_group;sales_flag;auto_room_assign_yn;upsell_yn;orms_upsell_rank;orms_upsell_amt;orms_drxtra_adult;orms_drxtra_child;max_occupancy_adults;max_occupancy_children;room_pool;member_award_room_grp;orms_drxtra_2nd_adult;orms_drtier_1;orms_drtier_2;orms_drtier_3;auto_checkin_yn;rate_floor;max_fix_bed_occupancy;maintenance_yn;smoking_preference;s_label;s_bedtype;sell_thru_rule_yn;crs_description;evisitor_facility_id;min_occupancy;accessible_yn
1;whose yahoo;failing;gosh;297;since;ick;in ick;uh-huh;2024-05-01;2024-05-01;pish dancer;23433;7083;20418;since yet;grouchy flood strong;including uselessly fairly;atop save;how;26961;2024-05-01;23355;2024-05-01;calmly;13948.73;6342;5409;meh;tomorrow loudly temp;aw horse vice;yodel hunter wag;majestic ha;what;consensus;youthfully near drat;fantastic;3142;19060;wetly;misbehave during;beautifully before;athwart;2730;7172.84;4323;12870;7935;30442;monthly untrue truck;experience inside beloved;16215;19622;31200;26623;lift interestingly;23484.09;12315;after;shock phooey ore;evenly glaring;woot;redevelop within;compass;furthermore strong wreck;3432;truly yippee
2;diligently yum charming;scholarly fumbling kind;likewise rambler warm;13893;guide speedily;message verifiable female;continually uh-huh victoriously;embarrass gleaming;2024-05-01;2024-05-01;choir madly school;11066;13977;32138;huzzah;which aboard ick;among;royal;brightly hmph whoa;27651;2024-05-02;4784;2024-05-01;as sinful;14207.61;29227;27531;farewell yearningly;boring early palatable;tomorrow hungrily insecure;overrule near;pong tightly;windy composed from;machine;selfishly though;slushy huzzah afore;22929;23777;weakly deduce as;periodic;overproduce oh;horn;23601;25816.62;15078;20386;31680;13098;bravely;probate;19495;27092;3961;13104;open jovially following;9784.76;18552;nonsense;geez score;pish ha a;aha triumphantly;or down meager;even;mood covenant;2094;because expectancy unlike
3;worth thwack oh;militate since;bronze;9689;modulo;hence timely;con until oxidise;shoo urgently;2024-05-02;2024-05-01;while journalist wrong;17848;32040;25681;rotating while around;grant abandoned stammer;and psst why;rare;evil congressperson;18130;2024-05-01;11501;2024-05-01;ugh;21716.63;15985;12041;pish hm key;chastity generously indeed;since frankly;along;furthermore um;repeatedly violently busily;bashfully;hovercraft household;soul;12495;20262;phew yum silent;aha while mature;enthusiastically fairly;arid beckon;29606;25163.58;7387;17511;25399;26921;functional nor;shaker powerful;14387;4357;5244;32139;strident;8038.99;13428;meh outnumber yet;neatly;playfully;sham stealthily;too whoa;stack;bony;3826;cemetery
4;tender superb caring;and;utter artistic brr;29950;spicy;boastfully uh-huh starchy;nag;paste before;2024-05-01;2024-05-01;booster stale legislator;30024;13437;5020;mouse;now coverall abaft;smoothly;sans;quirky by until;23886;2024-05-01;10957;2024-05-02;yum;25587.79;2818;13832;angry besides;scented likewise;given swathe zephyr;physically for posset;pfft alert kookily;er confusion;out out however;embellished;era alienated blindly;24050;22329;helpless justly;unwitting;oof rib;aw immerse;123;14865.99;14648;14932;19557;11950;reservoir;purvey afore deejay;16368;13296;28842;20929;conscious unless;1872.39;30955;adept blah owlishly;grape;generalize;rudely necessary;cockroach;corner beggar for;so;7213;um afore
5;trampoline;meh;heartfelt;27390;sledge;now wherever really;who;reassuringly brr;2024-05-01;2024-05-02;nor;19046;27040;22996;burden yuck;or;hm;brr haven neuron;medical hence not;16390;2024-05-01;24836;2024-05-02;foolishly;6374.18;16791;8529;powerfully;lazily;harvest substitute;afore why;massive for;interestingly outside near;sub worth why;failing incidentally alarmed;institution why;2229;4517;atop hm;leader;eek sadly parsley;consist;12380;5637.88;19894;18710;18375;26265;menacing regarding;psst vice;21350;30666;17335;32687;ultimately beyond;4065.38;20718;easily since excitedly;scarily vainly ream;fooey addiction tube;under;instead readily;joshingly;owlishly;8946;yowza
6;duh;sneeze;tinted joyous between;17547;calve ghost;actually conjugate once;aw across supposing;chowder heavily camp;2024-05-01;2024-05-01;superb when;26485;10909;12507;against till spotless;duh;truly;warlike attenuate though;simplistic outside bleakly;18908;2024-05-01;23897;2024-05-01;decentralise;6569.26;17257;25188;athlete amid;mantle onto which;prize;amidst;ha;roll save;fooey border;interview bah;inside;3849;14984;frightfully boogie;intently talkative;surfboard so;improbable down whose;1917;9445.86;22791;32568;5275;20630;unsteady loads;opposite equal;30296;32437;17893;3560;loan harsh;19735.28;22584;blah as;aside brace phooey;lyre save;though bitterly;sports jagged;an afflict;voyage yum;15571;phew reincarnate itemise
7;helplessly dental flight;gee as mechanically;rowdy yoyo sour;24369;gemsbok;stitch cavil;gadzooks umbrella jovially;unnecessarily sprout immediately;2024-05-02;2024-05-01;questionably supposing;24016;27068;20122;rewind instead clone;brr fog dreary;gelding next if;equip alpha if;nifty tremendously than;12141;2024-05-01;15857;2024-05-02;poach;24876.4;25939;30472;amazing;wind-chime;memorable mmm;scientific;against nervously lightscreen;atop politely;malnutrition garbage beside;bough;trained retire bitterly;6075;26254;youthful thwack towards;longingly;genuine westernise;pfft;4732;26885.62;6894;13345;1332;833;intercede;commit uh-huh;6710;12264;18725;760;fairly mystify loyally;10710.44;204;emergency;oof;gadzooks next favorite;soil below what;furthermore;lumber delirious;huzzah abbreviation till;27914;likewise readily
8;plus;audition into negative;helplessly serene;12403;speedily drat yippee;till;think frustrate notch;reproduce;2024-05-01;2024-05-01;scandalise;18400;10051;2545;awe quicker;carelessly active institutionalize;near cuckoo amend;psst in;immaculate squash;32307;2024-05-01;4039;2024-05-02;lovingly google inside;21822.03;26261;6252;aside;sympathetically soak;eek zowie;wipe or;huzzah anenst between;promenade multimedia retire;incense oddly emotional;pfft;rundown;25435;22916;squid whereas imply;supposing um velvety;lanky pro;on;18613;23715.27;31773;31665;3468;17869;gymnastics riddle tear;sentimental;6948;21926;24509;29100;balloonist officially unto;12375;32290;peel wherever bore;now;astride;arrogantly lour so;whoever equally above;so aw place;huzzah aha dearly;31092;hence charming
9;today reassuringly;zowie;peddle actually;11126;limply for isolation;teammate;woot even hastily;whenever;2024-05-02;2024-05-01;top;30763;30494;9564;psst agonizing;oh vicious macaroni;account;bedevil;feel usable soulful;6273;2024-05-01;32388;2024-05-02;brilliant rigidly vinyl;6717.3;16030;20432;above;woot mobilize nor;huzzah dictate;well than;after hometown before;instantly reliable minus;province;phooey alongside awesome;township;22928;27348;wonderfully disposer;vacantly drat;bruised hence where;yesterday;27003;29620.78;17859;7908;18756;18881;hence;naturally off amidst;14239;8851;6743;124;furiously electric horrible;21577.79;2969;observe burden;autograph trowel yippee;steamroller depersonalise;dishonest uncertainty;lest lest outlook;um;around ew what;17218;muffled boohoo
10;sudden adverb;when;declare why yippee;1922;beautifully whenever;flip-flops;live;now phew pfft;2024-05-01;2024-05-01;why sensitise;31423;2418;15793;prime derail how;whoa keystone;or that;against;midst which;25240;2024-05-01;30950;2024-05-01;fully;31658.24;5449;19038;what filch;alongside stormy;private pike popular;blah;upper;minus pfft;rightfully;readily accidentally object;lest ew aboard;7260;19882;pullulate gah;um airline;honest politely;fake before before;18504;7514.16;4008;13762;25327;5947;schematize;appropriate near bah;17527;10697;25896;11101;rampage despise;29833.07;1835;vice unabashedly;hmph;tilt;oh;apud;between;diet;1645;like
